value	namei	namej
0.13122466452928	Hydroxybenzoic acid derivatives	Organonitrogen compounds
0.131080999893834	Benzoic acids and derivatives	Acyclic diterpenoids
0.131060444354551	O-glycosyl compounds	Amino acids, peptides, and analogues
0.130923362185719	Flavonoids	Long-chain fatty alcohols
0.130732939234611	Imidazopyrimidines	Stigmastanes and derivatives
0.130707471893644	Alkyl-phenylketones	Benzenesulfonic acids and derivatives
0.130317568501845	Cholesterols and derivatives	Diazines
0.129891031751894	Peptides	Phosphatidylethanolamines
0.12983997554659	Monoterpenoids	Fatty acid esters
0.129732001311567	Phosphatidylcholines	N-acyl-alpha amino acids
0.129346733320875	Cholesterols and derivatives	Diterpenoids
0.129335643922478	Keto acids and derivatives	Long-chain fatty alcohols
0.129231311097842	Bile acids, alcohols and derivatives	Sphingolipids
0.129180402753691	Bile acids, alcohols and derivatives	Dipeptides
0.128214939196019	Azolidines	Peptides
0.128214752093872	Oligopeptides	Isoflavonoids
0.128174640444823	Dicarboxylic acids and derivatives	Phenol ethers
0.128148235155417	Azolidines	Thiazoles
0.12811850369695	Annonaceous acetogenins	Peptidomimetics
0.127970814443579	Bile acids, alcohols and derivatives	1-monoacylglycerols
0.12777705035141	Benzoic acids and derivatives	Phenols
0.127529831550366	Monoterpenoids	Hydroxybenzoic acid derivatives
0.127018802596026	Sulfated steroids	Peptidomimetics
0.126821525060339	Benzopyrans	Benzoic acids and derivatives
0.126820099375051	O-glycosyl compounds	Fatty alcohols
0.12643199933879	Quinolines and derivatives	Organonitrogen compounds
0.126028703856403	Tricarboxylic acids and derivatives	Lactones
0.125844290846265	1-acyl-sn-glycero-3-phosphocholines	Alpha amino acids
0.12563149515632	Bile acids, alcohols and derivatives	Cholesterols and derivatives
0.125443646362372	Dipeptides	Diterpenoids
0.125309227740623	Sphingolipids	Dipeptides
0.125024259828006	Hydroxycinnamic acids and derivatives	Indoles and derivatives
0.124940975201139	Phenolic glycosides	Triterpenoids
0.124927040511294	Peptides	Amino acids, peptides, and analogues
0.124809609385057	Fatty amides	Long-chain fatty alcohols
0.124613921035374	Glutamine and derivatives	Brassinolides and derivatives
0.124572601393606	Azoles	Organonitrogen compounds
0.124374304960306	Hydroxy acids and derivatives	Dipeptides
0.124238461168489	Alpha amino acids	Diterpenoids
0.124110484457402	O-glycosyl compounds	Keto acids and derivatives
0.124073255705657	Benzene and substituted derivatives	Triacylglycerols
0.123995477719966	Very long-chain fatty acids	Monoterpenoids
0.123411149306816	Tetrahydroisoquinolines	Alkyl-phenylketones
0.123315471069922	1-monoacylglycerols	Peptides
0.123280176262637	Fatty alcohols	Indoles and derivatives
0.122777446010244	Sphingolipids	Keto acids and derivatives
0.122534007170635	L-alpha-amino acids	Very long-chain fatty acids
0.122425564075654	Hydroxybenzoic acid derivatives	Keto acids and derivatives
0.122399591830354	Diazines	Indoles and derivatives
0.122331882291093	Stigmastanes and derivatives	Triterpenoids
0.122293287472967	1-monoacylglycerols	Monoterpenoids
0.121947726236219	Benzoic acid esters	Phenolic glycosides
0.121786508592066	L-alpha-amino acids	Cholesteryl esters
0.121443720100949	Bile acids, alcohols and derivatives	Organonitrogen compounds
0.121076516749982	Hydroxy acids and derivatives	Peptides
0.120993165979479	Cholesterols and derivatives	Beta-diketones
0.120888766044508	Benzopyrans	Benzodioxoles
0.120818401681823	Alkyl-phenylketones	Benzoic acid esters
0.120524966240819	1-acyl-sn-glycero-3-phosphocholines	Thiazoles
0.12043556350506	1-monoacylglycerols	Phosphatidylethanolamines
0.12040492892023	Benzopyrans	Monoterpenoids
0.119820211785647	Ergosterols and derivatives	Flavonoids
0.119331205751658	Azoles	Brassinolides and derivatives
0.119259115534159	Bile acids, alcohols and derivatives	Fatty acids and conjugates
